quote,author
"My advice to you is get married: If you find a good wife you’ll be happy; if not, you’ll become a philosopher.",Socrates
"If you want to be sure that you never forget your wife’s birthday, just try forgetting it once.",Aldo Cammarota
"Before you marry a person, you should first make them use a computer with slow Internet service to see who they really are.",Will Ferrell
"Never criticize your spouse’s faults; if it weren’t for them, your mate might have found someone better than you.",Jay Trachman
Never go to bed mad. Stay up and fight.,Phyllis Diller
"Instead of getting married again, I’m going to find a woman I don’t like and give her a house.",Rod Stewart
Behind every great man is a woman rolling her eyes.,Jim Carrey
Adults are always asking children what they want to be when they grow up because they’re looking for ideas.,Paula Poundstone
A perfect parent is a person with excellent child-rearing theories and no actual children.,Dave Barry
"Just be good and kind to your children. Not only are they the future of the world, they’re the ones who can sign you into a home.",Dennis Miller
"When I was a kid my parents moved a lot, but I always found them.",Rodney Dangerfield
"If you are not yelling at your kids, you are not spending enough time with them.",Reese Witherspoon
"When your mother asks, ‘Do you want a piece of advice?’ it is a mere formality. It doesn’t matter if you answer yes or no. You’re going to get it anyway.",Erma Bombeck
"Kids are expensive, I didn’t even realize how broke I was until last year someone stole my identity and it ruined her life.",Kate Davis
I want my children to have all the things I couldn’t afford. Then I want to move in with them.,Phyllis Diller
"It seems I have spent a lifetime of mouthing mechanically, ‘Say thank you. Sit up straight. Use your napkin. Close your mouth when you chew. Don’t lean back in your chair.’ Just when I finally got my husband squared away, the kids came along.",Erma Bombeck
There is no such thing as fun for the whole family.,Jerry Seinfeld
There are two classes of travelfirst class and with children.,Robert Benchley
"Happiness is having a large, caring, close-knit family in another city.",George Burns
"When your children are teenagers, it’s important to have a dog so that someone in the house is happy to see you.",Nora Ephron
"A dog teaches a boy fidelity, perseverance, and to turn around three times before lying down.",Robert Benchley
"If dogs could talk, it would take a lot of fun out of owning one.",Andrew A. Rooney
"If you think dogs can’t count, try putting three dog biscuits in your pocket and then giving Fido only two of them.",Phil Pastoret
The cat could very well be man’s best friend but would never stoop to admitting it.,Doug Larson
Cats are smarter than dogs. You can’t get eight cats to pull a sled through snow.,Jeff Valdez
"In order to maintain a well­-balanced perspective, the person who has a dog to worship him should also have a cat to ignore him.","Peterborough Examiner, Canada"
"Thousands of years ago, cats were worshipped as gods. Cats have never forgotten this.",Anonymous
Friends are God’s way of apologizing to us for our families.,Anonymous
"The statistics on sanity are that one out of every four Americans is suffering from some form of mental illness. Think of your three best friends. If they’re okay, then it’s you.",Rita Mae Brown
"The holy passion of friendship is of so sweet and steady and loyal and enduring a nature that it will last through a whole lifetime, if not asked to lend money.",Mark Twain
Always forgive your enemies; nothing annoys them so much.,Oscar Wilde
"The Bible tells us to love our neighbors, and also to love our enemies; probably because they are generally the same people.",G.K. Chesterton
"If you can’t beat them, arrange to have them beaten.",George Carlin
"If you want to know what God thinks of money, look at the people he gave it to.",Dorothy Parker
"Before borrowing money from a friend, decide which you need most.",Addison H. Hallock
Never keep up with the Joneses. Drag them down to your level. It’s cheaper.,Quentin Crisp
"People say money is not the key to happiness, but I have always figured if you have enough money, you can have a key made.",Joan Rivers
Anybody who tells you money can’t buy happiness never had any.,Samuel L. Jackson
"Misers are no fun to live with, but they make great ancestors.",Tom Snyder
"Anyone can do any amount of work, provided it isn’t the work he is supposed to be doing at that moment.",Robert Benchley
I like work; it fascinates me. I can sit and look at it for hours.,Jerome K. Jerome
Doing nothing is very hard to do. You never know when you’re finished.,Leslie Nielsen
"Hard work never killed anybody, but why take a chance?",Edgar Bergen
Don’t go around saying the world owes you a living. The world owes you nothing. It was here first.,Mark Twain
All I’ve ever wanted was an honest week’s pay for an honest day’s work.”   Sgt. Bilko.,Steve Martin
A college education is one of the few things a person is willing to pay for and not get.,William Lowe Bryan
"In real life, I assure you, there is no such thing as algebra.",Fran Lebowitz
True terror is to wake up one morning and discover that your high school class is running the country.,Kurt Vonnegut
"The secret of staying young is to live honestly, eat slowly, and lie about your age.",Lucille Ball
You are only young once. After that you have to think up some other excuse.,Billy Arthur
By the time you’re 80 years old you’ve learned everything. You only have to remember it.,George Burns
You can’t believe everything you hear but you can repeat it.,Anonymous
A gossip is a person who creates the smoke in which other people assume there's fire,Dan Bennett
The only thing worse than being talked about is not being talked about.,Oscar Wilde
"If you can’t be kind, at least be vague.",Judith Martin
It’s so much easier to suggest solutions when you don’t know too much about the problem.,Malcolm Forbes
"Any fool can criticize, condemn and complain and most do.",Dale Carnegie
People can’t drive you crazy if you don’t give them the keys.,Mike Bechtle
Sometimes you lie in bed at night and you don’t have a single thing to worry about. That always worries me!,Charlie Brown
Keep your temper. Nobody else wants it.,Dearborn Independent
"If God did not intend for us to eat animals, then why did he make them out of meat?",John Cleese
Never eat more than you can lift.,Miss Piggy
"When the waitress asked if I wanted my pizza cut into four or eight slices, I said, ‘Four. I don’t think I can eat eight.'",Yogi Berra
"Not all chemicals are bad. Without hydrogen and oxygen, for example, there would be no way to make water, a vital ingredient in beer.",Dave Barry
I always cook with wine. Sometimes I even add it to the food.,W.C. Fields
Always do sober what you said you’d do drunk. That will teach you to keep your mouth shut.,Ernest Hemingway
"All the things I like to do are either immoral, illegal, or fattening.",Alexander Woollcott
"Health nuts are going to feel stupid someday, lying in hospitals dying of nothing.",Redd Fox
Be careful about reading health books. You may die of a misprint.,Mark Twain
"It is useless to try to hold a person to anything he says while he’s madly in love, drunk, or running for office.",B. Birdsong
The only time some fellows are ever seen with their wives is after they’ve been indicted.,Kin Hubbard
"If our Founding Fathers wanted us to care about the rest of the world, they wouldn’t have declared their independence from it.",Stephen Colbert
"If at first you don’t succeed, try, try again. Then quit. There’s no use being a damn fool about it.",W.C. Fields
It is not enough to succeed. Others must fail.,Gore Vidal
"Thankfully, perseverance is a great substitute for talent.",Steve Martin
Some cause happiness wherever they go; others whenever they go.,Anonymous
Whoever said money can’t buy happiness simply didn’t know where to go shopping.,Bo Derek
One of the keys to happiness is a bad memory.,Rita Mae Brown
"A bore is the kind of man who, when you ask him how he is, he tells you.",Channing Pollock
She never lets ideas interrupt the easy flow of her conversation.,Jean Webster
He can compress the most words into the smallest idea of any man I know.,Abraham Lincoln
"By the time someone says, ‘To make a long story short,’ it’s too late.",Don Herold
"There but for the grace of God, goes God.",Anonymous
He is a self-made man and worships his creator.,Henry Clapp
The nice thing about egotists is that they don’t talk about other people.,Lucille S. Harper
People who think they know everything are a great annoyance to those of us who do.,Isaac Asimov
"An optimist is someone who falls off the Empire State Building, and after 50 floors says, ‘So far so good!'",Anonymous
The nice part about being a pessimist is that you are constantly being either proven right or pleasantly surprised.,George Will
The optimist proclaims that we live in the best of all possible worlds; and the pessimist fears this is true.,James Branch Cabell
I’m not offended by blonde jokes because I know I’m not dumb…and I also know that I’m not blonde.,Dolly Parton
We use 10% of our brains. Imagine how much we could accomplish if we used the other 60%.,Ellen DeGeneres
My definition of an intellectual is someone who can listen to the William Tell Overture without thinking of the Lone Ranger.,Billy Connolly
"When it doubt, look intelligent.",Garrison Keillor
Two things are infinite: the universe and human stupidity; and I’m not sure about the universe.,Albert Einstein
Think of how stupid the average person is and realize half of them are stupider than that.,George Carlin
"If stupidity got us into this mess, then why can’t it get us out?",Will Rogers
"According to most studies, people’s number one fear is public speaking. Number two is death. Death is number two. Does that seem right? That means to the average person, if you have to go to a funeral, you’re better off in the casket than doing the eulogy.",Jerry Seinfeld
"I don’t believe in reincarnation, and I didn’t believe in it when I was a hamster.",Shane Richie
Always go to other people’s funerals; otherwise they won’t come to yours.,Yogi Berra
